id,x,y,z,prop
4607,5.624974,1.487463,48.098969,
4847,2.493198,0.697723,7.819133,
4862,4.451317,1.24802,8.82229,
4897,8.703894,2.452854,23.839545,
4956,6.007483,1.712588,45.022744,
5112,4.52745,1.334485,100.797862,
5236,6.280112,1.894184,13.414196,
5325,4.149699,1.274102,6.181126,
5361,5.357793,1.65718,85.727534,
5485,2.996021,0.950129,-7.567468,
5538,9.564343,3.070183,-76.805211,
5632,3.353772,1.097975,-1.078832,
5642,4.68304,1.536029,-132.183251,
5799,9.236835,3.116166,-13.388935,
5829,7.405478,2.514417,-20.182731,
5849,10.023612,3.411601,-10.786636,
5884,7.143194,2.45156,-19.547464,
5916,5.034346,1.738868,106.819151,
6275,10.181327,3.739902,16.913257,
6330,3.827456,1.421808,23.520108,
6337,11.699304,4.34957,-11.103751,
6365,3.619426,1.352983,16.359155,
6480,10.054546,3.830973,-45.205553,
6898,2.101728,0.860036,42.384008,
7064,9.019863,3.792957,27.275089,
7269,1.624663,0.70512,103.077496,
7324,7.14548,3.125823,36.891996,
7325,6.797516,2.975217,19.27789,
7332,3.480236,1.525679,30.287553,
7499,9.229933,4.147969,8.92295,
7554,9.689721,4.388658,-116.200398,
7587,3.047844,1.387795,-27.176786,
7733,6.700648,3.116108,25.28579,
7736,3.945945,1.835674,-6.500103,
7750,10.666898,4.970337,3.210403,
7903,8.465575,4.02816,8.624862,
7963,9.297155,4.45887,-14.057838,
7966,6.370804,3.055661,2.60927,
8003,6.997383,3.372602,-66.799382,
8036,10.242877,4.95912,0.860009,
8055,5.386964,2.618057,12.184745,
8087,3.154083,1.539508,-1.00226,
8104,10.528341,5.15614,-70.615515,
8209,5.040715,2.510399,-32.94469,
8347,3.955256,2.009812,9.03725,
8351,9.406165,4.781006,-60.93639,
8380,4.142154,2.117948,126.336672,
8509,7.583591,3.945367,37.004941,
8533,5.304812,2.769618,-123.617636,
8686,4.212678,2.239105,-30.187646,
8692,9.330583,4.963735,11.33433,
8750,8.965111,4.808034,-4.20026,
8806,10.675124,5.764971,42.208351,
8827,6.260227,3.391764,281.600103,
8848,7.996647,4.346431,20.612732,
8972,7.177237,3.971961,-39.780502,
8989,9.696827,5.372709,-13.991232,
9025,8.647134,4.819931,-17.304553,
9034,9.247212,5.159084,-70.84623,
9169,11.420463,6.481946,-28.443273,
9172,7.032974,3.992911,-59.768924,
9217,9.103629,5.191033,-19.357346,
9231,6.945711,3.966285,-119.925871,
9272,5.547005,3.182972,10.444918,
9381,6.01882,3.502574,-41.760356,
9395,7.929959,4.622374,-46.656795,
9460,9.93903,5.852056,33.32112,
9484,10.708213,6.326913,167.041796,
9593,7.267379,4.348627,158.000985,
9702,7.447634,4.522928,-2.766518,
9706,6.238652,3.790315,32.342708,
9764,6.840438,4.183997,-4.662544,
10008,7.263752,4.589191,25.756505,
10031,9.021561,5.715426,69.758724,
10116,5.738173,3.670852,-8.359261,
10255,8.708661,5.674387,0.649508,
10339,8.500695,5.604115,-52.497657,
10371,8.874205,5.867794,-6.658469,
10504,6.593709,4.434475,19.352668,
10508,5.856981,3.939779,17.187347,
10593,10.160024,6.897399,-7.375226,
10620,7.36921,5.020051,6.065246,
10663,11.125008,7.61526,-18.548581,
10742,5.240302,3.620923,-196.747261,
10752,5.159559,3.569946,43.466912,
10772,9.361391,6.492719,-5.543174,
10774,9.71224,6.737282,158.542476,
10785,6.140764,4.266009,-159.825193,
10786,9.256838,6.431751,-8.425761,
10848,8.051887,5.635964,-35.595655,
10967,7.995795,5.686405,-131.039441,
11022,6.514448,4.657185,8.856375,
11086,9.90703,7.132785,35.812315,
11450,9.193135,6.929041,-44.101143,
11550,11.260628,8.579796,71.988819,
11734,1.3431,1.047629,132.614909,Polaris
11823,5.311651,4.186698,-21.697651,
11877,6.026173,4.779317,35.179123,
11933,6.546404,5.224808,-8.031079,
11942,10.526569,8.407414,-58.566714,
11948,3.211458,2.566986,154.028341,
11987,7.270207,5.836534,-68.380457,
12066,9.917443,8.022999,4.698446,
12082,5.538462,4.488223,0.861013,268 G. Cet
12116,11.609615,9.451089,-52.585327,
12229,6.010741,4.94958,-12.833073,
12319,6.826055,5.678155,-14.313176,
12377,7.129915,5.972116,107.58972,
12577,10.260687,8.773709,-186.427717,
12620,8.233473,7.066778,-13.303946,
12622,7.920265,6.800076,-57.92509,
12671,4.421565,3.818177,-8.075542,
12744,5.480091,4.772164,8.42701,
12748,5.109768,4.451981,3.235931,
12810,10.131041,8.892749,-4.529443,
12888,4.76057,4.219265,-63.539367,
12896,11.725605,10.400234,3.267271,
12901,11.032191,9.790254,-404.589526,
12920,8.513256,7.56983,155.103203,
13148,7.90568,7.21799,40.017889,
13185,5.725956,5.254333,-10.365203,
13247,5.888197,5.44071,-128.119115,
13341,8.809932,8.223946,8.248817,
13356,3.770908,3.527811,-10.438969,
13360,9.977113,9.334801,27.296304,
13368,7.367728,6.902771,-2.288171,
13422,7.321621,6.904762,50.231264,
13631,9.163556,8.845178,23.477607,
13744,5.086802,4.969625,-123.404664,
13810,2.787526,2.744498,-83.590517,
13825,10.167917,10.030998,90.795218,
13900,6.987747,6.959876,57.399976,
13981,10.954431,10.994436,165.663983,
14067,6.331435,6.434849,-2.690055,
14189,3.183498,3.280547,-36.411369,
14241,11.331367,11.73751,81.649912,
14249,6.231519,6.46038,172.777401,
14250,7.972592,8.267447,21.335781,
